isoweek,2022-23,2021-22,2020-21,2019-20,2018-19,2017-18
40,371.0958506,122.6299586,5.055250851,17.2295202,21.92576749,76.9081557
41,545.2821693,102.1269707,13.23849109,144.9933005,39.03534951,45.52555981
42,597.4409656,120.7469502,27.66928563,110.0572962,10.96288374,35.19454692
43,665.8661655,63.43452323,17.73007124,309.2085804,41.23049846,60.36484708
44,772.4974673,39.21114424,0,246.3127405,41.63899892,26.59588852
45,940.7165468,97.99453934,4.351486752,439.4045213,93.18451969,38.04933123
46,1487.06264,55.19843115,0,674.5194877,103.0762462,137.3166192
47,1816.132728,58.66492928,29.51825097,1403.966563,135.1660269,194.0157623
48,2739.274701,148.1682852,17.02731226,2012.183258,195.8448677,298.002083
49,4739.147242,121.9816293,7.999185467,2691.358491,267.9982568,435.4892641
50,7154.393557,139.7768803,4.063603595,3309.711946,405.8822074,724.7696365
51,10221.55826,202.9235396,4.218825858,3632.691489,535.976518,1596.806636
52,7168.099917,67.94755291,8.884662692,3221.163599,1201.335826,2831.019555
1,4528.773307,40.44122822,4.15670081,2341.633777,1786.045851,3544.278868
2,2067.206747,34.97344828,0,1297.152928,2396.522673,4421.824762
3,968.3664429,42.65182965,4.312565444,709.5859868,2538.835965,3927.150229
4,931.1466203,80.84507365,0,503.29531,3001.853248,3786.379298
5,790.3981747,74.02536213,0,666.4103084,3036.414212,3159.698418
6,558.2390218,64.31096772,15.76808756,460.1634501,3416.582933,3075.434715
7,896.9648963,177.6216967,0,474.8971718,2957.417953,3497.141866
8,724.3095801,180.6394583,4.594965562,441.9686092,2073.648691,3479.473098
9,574.057539,177.0452728,4.514394054,569.8034766,1051.63611,2351.532502
10,517.8271586,395.90883,4.813646806,484.3353314,765.3597562,2112.969563
11,556.1182451,379.8774809,0,323.7955103,750.463312,1835.769288
12,370.2944229,588.4225636,0,84.65665255,570.8459706,1646.709996
13,274.8772673,521.5669863,0,73.62506835,527.1352141,1426.356605
14,263.4830002,651.7140065,0,13.86100019,425.3073501,1185.453978
15,181.8366671,373.1691854,0,43.25122734,349.1878732,585.2127245
16,201.6540905,395.1893565,0,0,315.4159301,339.0474034
17,151.0151684,203.7510452,0,0,388.1671571,166.2699137
18,123.7225342,289.4599555,0,0,135.7740219,79.11106302
19,38.60392015,230.3992577,0,18.81665858,95.67227606,50.70625568
20,59.82042024,172.0717542,0,0,127.5630403,48.46338543
21,,122.2005977,0,0,0,0
22,,125.9297939,0,0,0,0
23,,85.35366015,0,0,0,0
24,,99.70610033,0,0,0,0
25,,93.41258459,0,0,0,0
26,,95.57837886,0,0,0,0
27,,38.4976431,0,0,0,0
28,,135.1535528,0,0,0,0
29,,101.2430287,5.125108288,0,0,0
30,,65.31624148,0,0,0,0
31,,60.07095058,5.078593482,0,0,0
32,,122.7068015,0,0,0,0
33,,69.67389529,0,0,0,0
34,,45.7213682,5.193449497,0,0,0
35,,101.7318838,10.11771772,0,0,0
36,,154.2982039,0,0,0,0
37,,116.376265,10.45364243,0,0,0
38,,169.0424941,32.81758976,0,0,0
39,,243.9337522,50.38154737,0,0,0
